Stars,Titles,Comments
2.0 out of 5 stars,Field of vision is not as good as it would appear .,I didn't like how little visibility there was. The foam is to thick so it cuts the view down.
5.0 out of 5 stars,These are great... You'll love them,"Great, love them. They worked great with and without glasses. Didn't fog up. Crystal clear."
4.0 out of 5 stars,Slides to easily on helm,Wish it had a rubberized backing to keep it in place ; it slides on the helmet
5.0 out of 5 stars,Works great with eyeglasses that are within the dimensions they gave.,Great product. Fits my eyeglasses just like the dimensions they said would fit.  No fogging and comfortable.
4.0 out of 5 stars,Works well and looks great,It?? a good pair of goggles. They are sick looking and don?? fog up at all! Only complaint is it fits very snug around my glasses so you have to be careful when taking the goggles on and off so it doesn?? bend your glasses.
5.0 out of 5 stars,They worked,Used to snowmobile in Alaska in sub-zero temps. They worked well
5.0 out of 5 stars,Cheap but gets the job done,My buddy bought the green ones and liked em. They definitely feel cheap but they get the job done.
5.0 out of 5 stars,Great buy,My daughter skied all season with these and they worked great. She loves them.
4.0 out of 5 stars,It gets the job done,I never bought one because it?? to expensive so when I see this product ! I decided to buy
5.0 out of 5 stars,Very pleased I selected these,Love these and I was able to wear my regular prescription glasses under. They look aesthetic  pleasing.
2.0 out of 5 stars,They shouldn't use white as the inner frame color,"There is a inner reflection that affects the view for this specific color combination. Because the frame is write, it is not negligible. Otherwise it is good."
5.0 out of 5 stars,Great price good quality,Great goggles for the price. No need to buy expensive ski goggles a again!
5.0 out of 5 stars,Perfect for the price!,Perfect pair of goggles for my 15 year old sonHe loved them
1.0 out of 5 stars,Meh,"I bought these to go skiing in Lake Tahoe, but I ended up not wearing these goggles as much as I thought I would. They scratch pretty easy so be careful where you place them down. They got foggy really quick and I had to remove them to see. I decided to just wear my regular glasses instead of them. Also not a good fit with glasses in them."
5.0 out of 5 stars,Covering the eyes,"Perfect fit, perfect size, great protection Comfortable around the head, soft on the face."
3.0 out of 5 stars,Field of view,"Even though the goggles appear to have a wider field of view, they actually have less of a field of view of my old goggles"
5.0 out of 5 stars,Great goggles for the $,I have only worn these once on a sunny day on the mountain but they were great! No issues. Great product fit a great price! Im glad I didn't spend $100+ on brand name goggles because these do the job well!! Very happy
5.0 out of 5 stars,Adaptable to every weather condition,"I have skied for over 25 years and worn all the name brand expensive googles, hands down these are the best, during a recent trip we encountered every weather condition from blue bird sky?? and sun to -9 and heavy snow, these googles seemed to adapt to each scenario extremely well, absolutely no fogging and the ability to see clearly even when the light goes flat, can?? recommend them highly enough"
5.0 out of 5 stars,They didn?? fog up,"These goggles are very comfortable, didn?? fog up and provided a natural light view."
3.0 out of 5 stars,Big,"Work great, but were too big an pushed down on my nose"
5.0 out of 5 stars,Great buy!,"Used in VT in varying weather and had no issues with fogging, slipping, nose bridge etc."
5.0 out of 5 stars,amazing ski goggles!,i wear glasses so was looking for goggles that would comfortably fit over the glasses if i choose not to wear contact lenses. These work great! the  tint is perfect and they are really comfortable. Keepers for sure!
3.0 out of 5 stars,Compared to high $$$ goggles,I??e had Oakley and Bolle and these are my favorite pair. They are really comfortable and wide giving me a large range of viewing. So far they are durable.  Can?? beat the price for the quality either!EDIT:  Used them with a neck warmer this past weekend and they fogged up easily! These are NOT anti-fog!
5.0 out of 5 stars,5 stars,Great product i cant wait to get to the snow to try them out
5.0 out of 5 stars,Fits and looks well. Comfortable.,Very little fogging if any and only when riding on a lift chair. The airflow from riding downhill helps with that.  Good goggles. Well priced.
3.0 out of 5 stars,Great frame with good peripheral vision. Lenses could stand a good coating to protect from scratches.,"After one wearing, the lens had a huge scratch across the line of vision. Even though the wearer is advised to protect lenses between use with the provided pouch, there is no guarantee they will be protected. Apparently the lens is not coated to protect the color or tint so any scratch will leave a huge mark. The irony is the product page lists the frame as ""anti-scratch."" No mention of the lens with such protection.Other than the too easily scratched lens, these are a great set of goggles for skiing because the vision line is wide with a great peripheral view. The price is affordable and, yes, the lens is detachable and interchangable with the two dozen other lenses that Zionor sells."
